CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0626,Beiersdorf,Beiersdorf Case Study,,,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en/customers/story/1552642769228088273-Beiersdorf-consumer-goods-azure-cognitive-search,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0627,Gameloft,Gameloft Case Study,,,,,IT & Platform Operations,Microsoft 365 ; Teams ; Copilot ; Windows ; Surface ; Xbox ; Azure,"• Page displays 'We are sorry, the page you requested cannot be found.'
• No case study details or outcomes available on the page
• What's new
• Surface
• Laptop
• Laptop Studio 2",https://www.microsoft.com/en/customers/story/1488865816968786936-gameloft-media-entertainment-azure-cognitive-services,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0628,MapmyIndia,MapmyIndia Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/mapmyindia,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0629,Marico,Marico Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/marico,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0630,Merisis,Merisis Case Study,"The provided page returns a 'page not found' message and contains only Microsoft site navigation and boilerplate. No Merisis-specific case study content, technologies, or outcomes are present on the page. Unable to extract use-case details from this URL.",,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/merisis,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0631,Minsur,Minsur Case Study,,,,,,,,https://www.microsoft.com/en/customers/story/719345-minsur-artifical-intelligence-azure-cognitive-services-machine-learning-mining-oil-arkano-peru,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0632,NC Dinos,NC Dinos Case Study,,,,,,,,https://www.microsoft.com/en/customers/story/1444543738602986229-nc-dinos-media-entertainment-azure-en-korea,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0633,Niva Bupa,Niva Bupa Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/niva-bupa,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0634,NPCI,NPCI Case Study,The requested NPCI page at this URL returns a 'page not found' message on Microsoft.com. The page states the URL may be misspelled or that the page is no longer available. The site displays Microsoft navigation links and product entries while indicating the missing page.,Technology,,,IT & Platform Operations,,"• Shows Microsoft site navigation and product links (indicating a site
• level 404).
• What's new
• Surface
• Laptop
• Laptop Studio 2",https://www.microsoft.com/en-in/aifirstmovers/npci,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0635,Pay Nearby,Pay Nearby Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/paynearby,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0636,Phonepe,Phonepe Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/phonepe,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0637,Policy Bazaar,Policy Bazaar Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/policybazaar,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0638,Porter,Case study unavailable â€” page not found,"The requested case study page returned a ""page not found"" message on Microsoft.com. No case study content, technologies, or outcomes are present on the retrieved page. Only site navigation and footer/privacy links are visible, so no extractable case study information is available.",Technology,,,IT & Platform Operations,,"• No measurable outcomes or technologies listed on the page.
• No case study content available â€” page returned not found.
• What's new
• Surface
• Laptop
• Laptop Studio 2",https://www.microsoft.com/en-in/aifirstmovers/porter,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0639,Practo,Practo â€” page not found,"The requested Practo case study page returned a 'page not found' message and contains no case-study content. The text indicates the URL may be misspelled or the page removed, and offers no details about use cases, technologies, or outcomes. No metrics or tools are available on this page.",Healthcare,,,Product Development / R&D,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/practo,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0640,Quess,Quess page not found â€” no case study available,"The page returns the message: ""We are sorry, the page you requested cannot be found."" The content only includes site navigation, boilerplate, and links; there is no case study content or details about AI usage on the page. No tools, metrics, or outcomes are present in the provided text.",Other,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/quess,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0641,Razorpay,Razorpay Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/razorpay,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0642,Reliance,Reliance Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/reliance,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0643,Sandvik,Sandvik Case Study,,,,,,,,https://www.microsoft.com/en/customers/story/1518521945649112744-sandvik-discrete-manufacturing-azure-en-sweden,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0644,ShareChat,Requested page not found,"The requested case study page is unavailable and returns a standard ""page not found"" message. The page contains site navigation and product listings but no case study content or implementation details. No tools, outcomes, or metrics related to an AI implementation are present on the page.",Technology,,,IT & Platform Operations,Microsoft 365 ; Teams ; Copilot ; Windows ; Surface ; Xbox ; Azure ; Dynamics 365 ; Power Platform ; Visual Studio ; Azure Marketplace ; Microsoft Store,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/sharechat,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0645,Shoppers Stop,Shoppers Stop Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/shoppersstop,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0646,Sify,Sify â€” page not found,"The provided page returned a ""page not found"" message and contains no case study content. The page only displays site navigation and a notice that the requested URL may be misspelled or no longer available. No tools, outcomes, or metrics are present on the page.",Technology,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/sify,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0647,Sonata Software,Sonata Software Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/sonata-software,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0648,Sprinklr,Sprinklr Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/sprinklr,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0649,SBI,SBI Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/sbi,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0650,Sterlite,Requested page not found,"The provided URL returns a 'We are sorry, the page you requested cannot be found' message. The page contains only Microsoft site navigation and no case study content. No technologies, outcomes, or concrete metrics are available on the page.",Other,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/sterlite,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0651,Swiggy,Swiggy Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/swiggy,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0652,TATA-AIA,Content unavailable (404),"The provided source URL returns a standard 'We are sorry, the page you requested cannot be found' message and contains no case-study content. No information about organization projects, tools, outcomes, or metrics is present on the page. Therefore no extractable AI use-case details are available from this source.",Other,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/tata-aia,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0653,Tech Mahindra,Tech Mahindra Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/techmahindra,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0654,Trelent,Trelent Case Study,,,,,,,,https://www.microsoft.com/en/customers/story/1549838968222249829-trelent-azure-openai-service,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0655,TVS,TVS page not found,"The requested TVS page on Microsoft.com returned a 'page not found' error. The site displays navigation to Microsoft products and services including Microsoft 365, Teams, Copilot, Windows, Surface, Xbox, Azure, Dynamics 365, and Power Platform, but contains no case study content. Users are directed to support and site navigation links.",Technology,,,IT & Platform Operations,Microsoft 365 ; Teams ; Copilot ; Windows ; Surface ; Xbox ; Azure ; Dynamics 365 ; Power Platform ; Microsoft Store ; Azure for students,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/tvs,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0656,Udaan,Udaan Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/udaan,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0657,Ultratech,Ultratech Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/ultratech,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0658,Upgrad,Upgrad Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/upgrad,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0659,UST,UST Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/ust,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0660,Vedantu,Vedantu â€” page not found,"The Microsoft customer story page for Vedantu is unavailable and returns a ""We are sorry, the page you requested cannot be found"" message. The page includes Microsoft site navigation and links but contains no case study content, tools, or metrics.",Education,,,Education & Training,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/vedantu,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0661,Vguard,Case study page not found,"The provided page returned a 'page not found' message and contains no case study content. There are no details about the organization, use case, technologies, or outcomes on the page. Extraction is not possible from the available text.",Other,,,IT & Platform Operations,,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en-in/aifirstmovers/vguard,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0662,Vistara,Vistara Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/vistara,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0663,Yes Bank,Yes Bank Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/yesbank,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0664,Zensar,Zensar Case Study,,,,,,,,https://www.microsoft.com/en-in/aifirstmovers/zensar,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0665,Zurich,Case study page not found,"The requested case study page is unavailable and displays: ""We are sorry, the page you requested cannot be found."" The visible content contains site navigation listing Microsoft products but no case-study content, outcomes, or metrics are present on the page.",Other,,,IT & Platform Operations,Microsoft 365 ; Teams ; Copilot ; Microsoft 365 Copilot ; Windows ; Surface ; Xbox ; Azure ; Dynamics 365 ; Power Platform,"• What's new
• Surface
• Laptop
• Laptop Studio 2
• Laptop Go 3
• Microsoft",https://www.microsoft.com/en/customers/story/1430042061294998422-zurich-germany-en-switzerland,Microsoft,"v2, v3",Broken source (404),Excluded
aicase-x0666,Duolingo,Integration of GPT-4 for Language Learning,"Duolingo has integrated OpenAI's GPT-4 to enhance its language learning experience. This includes providing personalized feedback and engaging conversation practice for users, thereby increasing interactivity and user engagement.",Education & Training,Education,,,GPT-4,"• Enhanced user engagement
• Personalized feedback for learners",https://blog.duolingo.com/duolingo-gpt4/,"OpenAI
(Duolingo)",v3,Duplicate,Excluded
aicase-x0667,"Deloitte, Marriott, Palo Alto Networks",Protecting Cybersecurity Workloads,"At AWS re:Invent 2023, Deloitte, Palo Alto Networks, and Marriott discussed integrating cybersecurity solutions powered by AWS. Marriott uses AI to enhance guest interactions through personalized and efficient digital applications, while Deloitte offers ConvergeSECURITY on AWS for comprehensive cloud security services. Palo Alto Networks employs Amazon Security Lake for advanced threat visibility and proactive risk reduction.",Security & Risk Management,Hospitality & Travel,,,Amazon Security Lake,"• Enhanced threat detection
• Rapid incident recovery
• Improved guest experience and personalization through AI",https://aws.amazon.com/solutions/case-studies/deloitte-marriott-paloalto-keynote-aws-reinvent-2023?did=cr_card&trk=cr_card,AWS,v3,Not truly AI,Excluded
aicase-x0668,NVIDIA,Deep Learning & AI Use Cases and Customer Success Stories,"NVIDIA provides various AI-driven solutions across multiple industries, including Healthcare, Automotive, and more. Their products, such as the DGX and Jetson platforms, enable organizations to leverage advanced AI capabilities.",Data & Analytics,Technology,,,NVIDIA NGC,"• Expanded AI model deployment capabilities
• Faster data processing
• Increased efficiency in research",https://www.nvidia.com/en-in/deep-learning-ai/customer-stories/,NVIDIA,v3,Marketing fluff,Excluded
aicase-x0669,Banco de la Ciudad de Buenos Aires,Microsoft 365 Copilot automates tasks and boosts customer service,"Banco de la Ciudad de Buenos Aires implemented Microsoft 365 Copilot, Copilot Studio, and Azure to automate tasks, develop AI agents, and improve customer service. The bank freed up 2,400 hours annually and enabled employees to focus on higher-value work without downsizing. It reduced Call Center costs by USD 14,500 per month and projects a total AI impact of USD 75,000 per month.",Customer Service,Financial Services,,,Microsoft 365 Copilot ; Copilot Studio ; Azure,"• Freed up 2,400 hours annually
• Allowed employees to focus on higher-value tasks without downsizing
• Saved USD 14,500 per month in its Call Center
• Projects a total impact of USD 75,000 per month with AI",https://www.microsoft.com/en/customers/story/24281-banco-de-la-ciudad-de-buenos-aires-microsoft-365-copilot,Microsoft,v3,Duplicate,Excluded
aicase-x0670,NVIDIA,Deep Learning & AI Use Cases and Customer Success Stories,"NVIDIA showcases its deep learning and AI solutions across various industries, highlighting the transformative impacts of AI technology. From cloud computing to robotics and automotive applications, NVIDIA provides tools like DGX Cloud and advanced GPUs for enhancing computational capacities.",Data & Analytics,Technology,,,NVIDIA RTX ; CUDA,"• Enhanced AI model development and deployment
• Increased computational performance with NVIDIA GPUs
• Broader AI capabilities across industries",https://www.nvidia.com/en-sg/deep-learning-ai/customer-stories/,NVIDIA,v4,Marketing fluff,Excluded
aicase-x0671,NVIDIA,NVIDIA Deep Learning & AI Use Cases,"NVIDIA provides accelerated computing solutions and AI technologies leveraged by various industries for transformative applications. Their offerings include AI platforms like NeMo for generative AI and Clara for healthcare solutions, utilizing advanced GPU architectures such as NVIDIA A100 and H100 for superior performance.",Data & Analytics,Technology,,,Generative AI ; NeMo ; Clara ; NVIDIA A100 and H100 GPUs,"• Accelerated AI model development
• Improved healthcare imaging with AI
• Enhanced productivity in various sectors",https://www.nvidia.com/en-in/deep-learning-ai/customer-stories/,NVIDIA,v5,Marketing fluff,Excluded
aicase-x0672,Arm Limited,Arm Scales Performance for Chip Design Using Amazon FSx for NetApp ONTAP,"Arm Limited faced challenges in managing its chip-design workloads, particularly in terms of scalability and performance consistency. To address these issues, the organization adopted Amazon FSx for NetApp ONTAP, which allowed for a hybrid cloud infrastructure that could flexibly accommodate peak workloads. This strategic approach not only streamlined their electronic design automation (EDA) workflows but also significantly enhanced processing efficiency. As a result, Arm achieved a remarkable 50% reduction in processing time, managed over 10 million job submissions daily, and utilized more than 470,000 CPU cores, all while leveraging cost-effective SPOT Instances.",Technology,Technology,"Semiconductor, Chip Design, Electronic Design Automation",R&D & Engineering,Amazon FSx for NetApp ONTAP ; Amazon EC2 ; AWS Batch,"• Achieved a 50% reduction in processing time for chip-design workloads.  
• Handles over 10 million daily job submissions efficiently.  
• Utilizes more than 470,000 CPU cores, all on SPOT Instances.  
• Enhanced scalability and performance of EDA workflows through hybrid cloud setup.  
• Flexibly manages peak workloads with additional cloud resources.",https://aws.amazon.com/solutions/case-studies/arm-ltd-case-study/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0673,Bell Canada,Bell Canada Boosts Cloud Sales by 67% Using AWS Training and Certification,"Bell Canada faced the challenge of enhancing its workforce's cloud expertise to drive digital transformation and improve sales. To address this, the organization partnered with AWS to establish the Bell AWS Training Club in 2023, leveraging AWS training resources to boost cloud knowledge and integrate cloud topics into daily operations. This strategic approach resulted in a remarkable 67% growth in cloud-related business deals within just eight months, alongside a 239% year-over-year increase in AWS Certifications and a 560% rise in AWS Partner Accreditations. Additionally, there was a 22% increase in customer interactions regarding cloud products, significantly enhancing Bell Canada's market presence and customer engagement.",Telecommunications,Telecommunications,"Cloud Services, Digital Transformation, Workforce Development",Training & L&D,AWS Training and Certification ; AWS Skill Builder Team subscription ; AWS GameDay,"• 67% growth in cloud-related business deals in 8 months  
• 239% year-over-year increase in AWS Certifications  
• 560% year-over-year boost in AWS Partner Accreditations  
• 22% increase in interactions about cloud products in 8 months",https://aws.amazon.com/solutions/case-studies/bell-canada-training-certification-case-study/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0674,Collaboration.Ai,"Collaboration.Ai & Second Front, Chainguard Success Story","Collaboration.Ai faced the challenge of entering the US federal government sector, a market known for its stringent compliance requirements and lengthy authorization processes. To address this, they partnered with Second Front and Chainguard, utilizing the Game Warden platform and secure container images on AWS. This strategic approach enabled them to achieve Department of Defense (DoD) authorization for their CrowdVector innovation management platform in under 90 days, a significant reduction from the typical two-year timeline. As a result, Collaboration.Ai not only saved $2 million in compliance costs but also reduced image vulnerabilities by 97%, unlocking substantial revenue opportunities in the federal market.",Government & Public Sector,Government & Public Sector,"Defense, Federal Government, Cloud Security",Legal & Compliance,Amazon EKS ; Amazon EC2 ; Amazon EFS ; Elastic Load Balancing,"• Achieved DoD authorization for CrowdVector in less than 90 days, compared to the customary 2+ years.  
• Saved $2 million in compliance costs.  
• Reduced image vulnerabilities by 97%.  
• Opened significant revenue opportunities in the federal market.",https://aws.amazon.com/solutions/case-studies/collaboration.ai-second-front-chainguard/,AWS,v9,Not truly AI,Excluded
aicase-x0675,HCLSoftware,HCLSoftware Accelerates Innovation by 100% with SaaS Migration to AWS,"HCLSoftware faced challenges in enhancing the reliability and scalability of its HCL BigFix Service Management platform, which serves over 300,000 users globally. To address these issues, the organization migrated its services to AWS, leveraging technologies such as Amazon RDS for PostgreSQL and Amazon EKS. This strategic move resulted in a remarkable 100% increase in development speed, enabling faster innovation cycles while maintaining a 99.5% availability target. The successful migration not only accelerated the transition to a SaaS model by six months but also significantly improved the overall user experience and service reliability.",Technology,Technology,"Cloud Migration, SaaS Platform, IT Service Management, Platform Infrastructure",IT & Platform,Amazon RDS for PostgreSQL ; AWS Lambda ; Amazon EKS ; AWS Control Tower,"• 99.5% availability target maintained  
• 300,000 users worldwide on HCL BigFix Service Management  
• 100% increase in development speed for faster innovation  
• 6 months accelerated SaaS migration to AWS",https://aws.amazon.com/solutions/case-studies/hclsoftware-case-study/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0676,Intercom,AI-First for Intercom as It Delivers Customer Service Excellence on AWS,"Intercom faced the challenge of scaling its customer service solutions to meet the growing demands of its global clientele while ensuring high-quality support. To address this, the organization adopted AWS to enhance its AI-powered customer service capabilities, allowing for efficient growth and fostering innovation. This strategic partnership provided a robust and secure infrastructure that could adapt to diverse customer needs. As a result, Intercom successfully serves tens of thousands of customers worldwide, significantly improving customer satisfaction and operational efficiency. The integration of AWS has positioned Intercom as a leader in delivering exceptional customer service.",Technology,Cross-Industry,"SaaS, Cloud Infrastructure, Customer Support Platforms",Customer Service,AWS,"• Leveraging AWS to scale AI-powered customer service solutions  
• Supporting tens of thousands of global customers  
• Enabling efficient growth and enhanced innovation  
• Maintaining a robust infrastructure that meets diverse customer needs  
• Ensuring security in customer service operations",https://aws.amazon.com/solutions/case-studies/intercom-case-study/?did=cr_card&trk=cr_card,AWS,v9,Insufficient detail,Excluded
aicase-x0677,Jampp,Maximizing Efficiency for Bidding System Using AWS Graviton–Based Instances with Jampp,"Jampp faced challenges in optimizing its bidding system, which required rapid processing to meet the demands of advertisers. To address this, the organization adopted AWS Graviton-based instances, leveraging their high-performance compute capabilities with machine learning to analyze user behaviors and demographics, predict user actions and interests, and automate and optimize campaigns, as well as retarget users who are most likely to reengage. This strategic approach resulted in a remarkable 33% reduction in transaction times and a 10% improvement in overall system efficiency. Additionally, Jampp achieved an average cost saving of 10% by utilizing these advanced instances. Ultimately, this transformation not only improved service delivery for advertisers but also positioned Jampp as a more competitive player in the digital advertising space.",Technology,Technology,"AdTech, Cloud Infrastructure, Real-time Bidding",IT & Platform,AWS; Machine Learning ; Amazon EC2 ; Amazon EMR ; Amazon ECS,"• Achieved an average savings of 10% using AWS Graviton-based instances.  
• Reduced transaction time by 33% for certain transactions.  
• Improved overall efficiency by 10%.  
• Leveraged AWS for high-performance compute power to enable rapid bid processing in milliseconds.  
• Utilized Amazon EC2, Amazon EMR, and Amazon ECS technologies.",https://aws.amazon.com/solutions/case-studies/jampp-case-study/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0678,JUG Ru Group,Pivoting to Online Events with AWS to Overcome Pandemic Disruptions,"The JUG Ru Group faced significant challenges during the pandemic, as traditional in-person events were no longer feasible. To adapt, the organization strategically pivoted to online events by leveraging AWS cloud technologies, ensuring continuity of services and engagement with their audience. This approach not only allowed them to maintain operations in a rapidly changing market but also fostered increased online service engagement. As a result, JUG Ru Group enhanced its operational resilience and achieved optimized cost efficiencies, positioning itself for future growth in a digital landscape.",Professional Services,Professional Services,"Cloud Migration, Digital Transformation",IT & Platform,,"• Increased online service engagement  
• Enhanced operational resilience  
• Optimized cost efficiencies",https://aws.amazon.com/solutions/case-studies/JUG-Ru-Group-Pivots-to-Online-using-AWS-after-Pandemic-Business-Shock/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0679,LG Electronics,Smarter and Happier Homes with ThinQ,"LG Electronics faced the challenge of enhancing user engagement and satisfaction in the smart home sector. To address this, they leveraged the ThinQ platform built on AWS, enabling users to control their smart appliances through voice commands and a mobile app. This innovative approach not only provided personalized recommendations based on user habits but also incorporated Proactive Customer Care alerts to help users maintain appliance efficiency. As a result, 30% of users were able to resolve appliance issues independently, leading to increased efficiency and durability of appliances, as well as energy savings through smarter management.",Technology,Cross-Industry,"Smart Home, Consumer Electronics, IoT",CX & Personalization,Amazon EC2 ; Amazon RDS ; Amazon S3 ; AWS IoT ; LG ThinQ with Alexa Voice Control,"• 30% of users resolved appliance issues independently through proactive alerts.  
• Enhanced efficiency and durability of LG appliances.  
• Achieved energy savings through smart management of devices.  
• Utilized AWS services to support the ThinQ platform for improved smart home experience.  
• Enabled voice command and mobile app control for LG smart appliances.",https://aws.amazon.com/blogs/iot/aws-is-how-lg-electronics-makes-life-good-with-smarter-happier-homes/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0680,Logz.io,Reducing Overall Costs by 50% and Improving Performance Using AWS Graviton,"Logz.io, an AI-powered observability platform, faced the challenge of rising operational costs amid macroeconomic pressures. To address this, the organization migrated its workloads to AWS Graviton processors, which allowed for a more efficient use of compute resources. This strategic move resulted in a remarkable reduction of overall costs by up to 50%, while also enhancing performance and cutting infrastructure expenses by up to 30%. By leveraging AWS Graviton, Logz.io successfully achieved significant cost savings during an economic downturn, all without disrupting their services, thereby reinforcing their commitment to delivering reliable observability solutions.",Technology,Technology,"Cloud Computing, Infrastructure Management, Observability",IT & Platform,AWS Graviton ; Amazon EC2,"• Reduced total costs by up to 50%  
• Improved performance while cutting infrastructure costs by up to 30%  
• Achieved cost savings during an economic downturn without service disruption  
• Migrated workloads to AWS Graviton processors for enhanced efficiency  
• Optimized compute resources with AWS Graviton-based instances",https://aws.amazon.com/solutions/case-studies/logz-io-graviton-case-study/?did=cr_card&trk=cr_card,AWS,v9,Insufficient detail,Excluded
aicase-x0681,Madrileña Red de Gas,Deployment of Smart Gas Meters,"Madrileña Red de Gas (MRG), the main gas supplier in the Community of Madrid, is implementing smart gas meters with AWS IoT Core to improve operational efficiency and customer service. This initiative integrates IoT technologies, allowing for automated, accurate gas usage readings and enhanced regulatory compliance while minimizing environmental impact by reducing manual readings. Customers gain real-time access to their consumption data, promoting responsible consumption and transparency.",Energy & Utilities,Energy & Utilities,"Natural Gas Distribution, Utility Operations, Smart Metering",Operations & Supply Chain,AWS IoT Core ; AWS IoT Core for LoRaWAN ; AWS Glue ; Amazon Data Firehose ; Amazon S3 ; Amazon QuickSight,"• Increased data reading frequency  
• Enhanced billing accuracy for customers  
• Reduction in operational costs  
• Decrease in carbon footprint  
• Real-time access to consumption data for customers",https://aws.amazon.com/solutions/case-studies/mrg-case-study?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0682,MANZ,Accelerating Semantic and Similar Search Functions for a Leading Legal Publisher,"MANZ faced challenges in efficiently searching through a vast repository of legal documents, which hindered timely access to critical information. To address this, they partnered with tecRacer Consulting and AWS to implement advanced search capabilities using vector embeddings for intelligent similarity searches. By integrating Amazon OpenSearch Service and Amazon Neptune, MANZ significantly enhanced its document search functions, enabling the processing of over 50 million documents with remarkable speed. As a result, the average processing time was reduced to 200-300 milliseconds, leading to an expected 30% cost savings and improved user experience for legal professionals seeking relevant information swiftly.",Legal & Compliance,Legal & Compliance,"Legal Publishing, Document Management, Legal Research",Legal & Compliance,Amazon OpenSearch Service ; Amazon Neptune,"• Average processing time reduced to 200 – 300 milliseconds  
• Capability to search over 50 million documents  
• Expected savings of 30% achieved  
• Enhanced document search capabilities through vector embeddings  
• Collaboration with tecRacer Consulting and AWS for improved efficiency",https://aws.amazon.com/solutions/case-studies/manz-tecracer-consulting/,AWS,v9,Not truly AI,Excluded
aicase-x0683,ODILO,Personalizing Digital Learning Experiences with AI,"ODILO is an educational technology company providing on-demand learning that aims to digitize educational content globally while promoting sustainability. Since its founding in 2011, ODILO has utilized AWS to support its solution, achieving a content library of over four million resources for more than 170 million users in 54 countries. The platform offers personalized learning itineraries and is committed to reducing environmental impact, saving 12,000 hectares of forests annually by digitizing content.",Education,Education,"EdTech, Digital Learning, E-Learning",Training & L&D,Amazon Personalize ; Machine Learning,"• Over 170 million users globally  
• More than 4 million educational resources available  
• 6,000 active users and 120,000 learning hours recorded among Ukrainian refugees in 2 months  
• 13.1 million hours of learning completed by Brazilian students  
• 12,000 hectares of forest saved annually through digitization efforts",https://aws.amazon.com/solutions/case-studies/odilo?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
aicase-x0684,Orangetheory Fitness,Live Virtual Classes with AWS,"During the pandemic, Orangetheory Fitness faced the challenge of maintaining member engagement while traditional in-person classes were restricted. To address this, they launched Orangetheory Live, a platform that allows over 1 million members to participate in real-time high-intensity interval training (HIIT) workouts from the comfort of their homes. By utilizing AWS technologies, including the Amazon Chime SDK for seamless communication and AWS Lambda for efficient computing, Orangetheory created an interactive and personalized fitness experience. This innovative approach not only connected members virtually but also resulted in over 8 million views of on-demand content, significantly reducing operational costs through a Compute Savings Plan.",Healthcare,Healthcare,"Fitness, Wellness, Digital Health",CX & Personalization,Amazon Chime SDK ; AWS Amplify ; AWS Amplify Video ; Amazon CloudFront ; AWS Lambda,"• Over 8 million views for On-Demand content  
• Virtually connected over 1 million members  
• Reduced operational costs with Compute Savings Plan  
• Enabled real-time HIIT workouts with personalized coaching and heart rate tracking  
• Leveraged AWS technologies for an engaging fitness experience",https://aws.amazon.com/blogs/media/aws-is-how-orangetheory-fitness/?did=cr_card&trk=cr_card,AWS,v9,Not truly AI,Excluded
